Number of true negative reads: 1352.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
7ccbd99a-ed3c-627b-38b8-80fe50db168c	-	-	*	*
0dd2d9bc-6bec-35b4-8ba1-f50dd2c0ebc1	1423	1386	*	*
5326f4bf-50fc-2210-48c6-d8da00063207	287	286	*	*
2869db77-9827-91ff-8301-4a7c7a86d1a5	28901	590	*	*
a51c8344-6a35-9308-1f26-483d076b4b51	-	-	*	*
4f9d19c2-c219-58f2-9427-3e3aa99e9133	-	-	*	*
16d9c4de-5da9-d116-0d44-2388f3c48bc1	562	561	*	*
282ed04a-9b1d-f779-597d-d1e2e56f8d41	562	561	*	*
9b080df0-8646-258e-90f8-4383366f58ac	-	-	*	*
239a3404-5503-aa12-ba3c-e4c7dca943f3	-	-	*	*
a0c37a21-74fb-a952-f3f7-a52155e009dc	28901	590	*	*
13863c2d-2f10-4252-da8f-684661300054	-	-	*	*
c7b91830-7d31-2de0-cfaa-1303a9eb667e	-	-	*	*
1ff523d9-de04-1799-7d91-72852d6b2a70	1351	1350	*	*
888b4c12-9259-2a9f-7ecb-b543841993c2	-	-	*	*
9a98d99b-dc72-fa97-c5af-22dccf65b1c0	-	-	*	*
abfd198b-dc36-f8db-05de-d5f59999bb12	-	-	*	*
3e63694f-726a-8149-4402-ddfaaf10a690	-	-	*	*
0bbeeab8-000e-130f-0de5-c49cc243b450	562	561	*	*
1c15db0c-f5ea-42a0-a14a-d3057a196009	-	-	*	*
9a3eba76-8801-1ff7-3fb9-52460f592a37	28901	590	*	*
baf31524-c1de-6699-d257-02a1e42dbb0e	-	-	*	*
5f049ea6-9886-b3ea-f19a-a6104b8c65a0	562	561	*	*
3ef82f72-2cce-005f-e038-4d4e419eb895	1613	2742598	*	*
a4ca6a12-3788-8ffa-d453-7b144edddc75	-	-	*	*
e7180242-71b2-1b2e-74ed-31f3ec2cca2f	-	-	*	*
5efa75eb-bc0c-82b8-fd76-89367d81e873	28901	590	*	*
0b10ca23-5142-3d10-e74b-a0624e287f73	-	-	*	*
99c6dbe9-3584-328a-d6f9-b613c0a0213f	-	-	*	*
44696282-b05a-0504-cc8c-9248f0d62df2	-	-	*	*
9b201dae-0db8-f059-a07f-7ef9057a0914	-	-	*	*
36e2d05b-a696-cad6-37c7-24b8d1d33de5	-	-	*	*
3d7a994c-3e16-9701-0549-de5c784f15db	-	-	*	*
662c3a5a-00b4-5ce5-359f-5105006a2da9	562	561	*	*
9a0555d2-0840-4401-c7d0-f83aa521bba2	-	-	*	*
531e4b8c-90c9-9566-d55c-a9bd00da9592	-	-	*	*
ea0406eb-2500-1260-535b-d215241c40ea	-	-	*	*
c0bf5838-12a6-e0ff-2919-ef79c28f1642	287	286	*	*
77da100f-224d-02ce-4b8d-1c7393730510	-	-	*	*
321962fb-67f2-752b-b965-2872e8649c6b	-	-	*	*
8cf651a0-492d-cc88-a7e1-4d360556aa6c	-	-	*	*
f5a657eb-e9a3-cabd-6980-cc670525e024	-	-	*	*
1046e78c-55d2-50af-a7cd-76a621fbcaf9	-	-	*	*
a29ca646-297b-4652-6edc-145fceeb4654	-	-	*	*
a2ac5059-608a-0696-77c0-258f12f27f7b	28901	590	*	*
2ec834e6-4cef-dc7b-550f-c79028b29541	-	-	*	*
2043388b-4d86-b3cc-5f42-6c665090ff4a	-	-	*	*
dda697a0-b5e8-7114-95a2-4c4ede63407a	-	-	*	*
7ee2c162-54f1-6770-b960-a3ffdfc808f4	-	-	*	*
224a325e-ad72-73d0-ad2b-46e4e413ba28	-	-	*	*
22ca50b7-a9c6-df33-e0de-885970b17969	-	-	*	*
0207432e-8381-ffe5-1101-8185bc2838c8	-	-	*	*
ecc4db27-498e-b0d6-2557-eb5f0d78501a	-	-	*	*
05f2c4ee-df7e-2c85-fc88-16ea02a09a44	1639	1637	*	*
65fb72f4-1e93-fd08-8be6-ba349d4782ab	-	-	*	*
e7aa785c-c8fc-3b52-7f94-527981dc18dc	-	-	*	*
2ea2ab3f-6f46-e1cd-1a63-6c875e370b3e	28901	590	*	*
b452275d-fa31-e2c6-d3a2-75154132c3cb	-	-	*	*
